# Telescope:  LTRT
# Description: 2.4m parabolic C-Band antenna
# Location: Glenorie, NSW, Australia
# Coordinates: 151.008 E, 33.5959 S
# Mode: cal
# Centre frequency:  3700 MHz
# Sample time (ms): 10
# Receiver Gain (dB): 5
# Observation length (s): 7200
# Local Time start:  Fri Feb 22 20:53:09 2013
# UTC start:  Fri Feb 22 09:53:09 2013
# LST start (hh:mm:ss):  06:07:01
# Source: no_lnb
# Declination (degrees): -33.6
0.395808 29.23
0.397194 29.3325
0.398583 29.1075
0.399969 29.0575
0.401356 28.955
0.402742 29.225
0.404128 29.1825
0.405514 29.31
0.406903 29.3325
0.408289 29.1725
0.409675 29.2625
0.411061 29.38
0.412447 29.3025
0.413836 29.2875
0.415222 29.38
0.416608 29.2125
0.417994 29.2275
0.419383 29.2625
0.420769 29.2
0.422156 29.295
0.423542 29.3725
0.424928 29.2925
0.426314 29.26
0.427703 29.165
0.429089 29.31
0.430475 29.435
0.431861 29.7925
0.433247 29.1175
0.434636 29.5275
0.436022 29.0575
0.437408 29.1925
0.438794 29.18
0.440183 29.2
0.441569 29.1925
0.442956 29.22
0.444342 29.15
0.445728 29.2225
0.447114 29.2225
0.448503 29.2375
0.449889 29.18
0.451275 29.175
0.452661 29.105
0.454047 29.245
0.455436 29.1
0.456822 29.2375
0.458208 29.2275
0.459594 29.195
0.460983 29.0975
0.462369 29.3825
0.463756 29.2
0.465142 29.2425
0.466528 29.16
0.467917 29.04
0.469303 29.23
0.470689 28.95
0.472075 29.365
0.473461 29.115
0.474847 29.4075
0.476236 29.0925
0.477622 29.2825
0.479008 29.38
0.480394 29.28
0.481783 29.1375
0.483169 29.2325
0.484556 29.14
0.485942 29.1075
0.487328 29.085
0.488717 29.2175
0.490103 29.1225
0.491489 29.1575
0.492875 29.1175
0.494261 29.225
0.495647 29.105
0.497036 29.1825
0.498422 29.1725
0.499808 29.085
0.501194 29.1175
0.502583 29.1525
0.503969 29.02
0.505356 29.085
0.506742 29.0725
0.508128 29.2425
0.509517 29.0175
0.510903 29.21
0.512289 28.94
0.513675 29.025
0.515061 29.0975
0.516447 29.1875
0.517836 28.8775
0.519222 28.875
0.520608 29.19
0.521994 29.0175
0.523383 29.105
0.524769 28.9875
0.526156 28.945
0.527542 29.1925
0.528928 29.085
0.530317 29.085
0.531703 29.1075
0.533089 29.1875
0.534475 29.135
0.535861 28.9875
0.537247 29.115
0.538636 29.065
0.540022 29.085
0.541408 29.0775
0.542794 29.02
0.544183 29.065
0.545569 29.1
0.546956 29.1275
0.548342 29.2325
0.549728 28.9775
0.551117 29.215
0.552503 29.0825
0.553889 29.0675
0.555275 28.755
0.556661 28.745
0.558047 29.0275
0.559436 28.9725
0.560822 28.9775
0.562208 28.7725
0.563594 29.1625
0.564983 28.9225
0.566369 29.005
0.567756 29.3225
0.569142 29.13
0.570528 28.96
0.571914 29.0975
0.573303 29.1575
0.574689 29.1225
0.576075 29.1775
0.577461 28.955
0.578847 29.055
0.580236 29.04
0.581622 29.095
0.583008 29.075
0.584394 29.1675
0.585781 29.0175
0.587169 29.0025
0.588556 28.9675
0.589942 29.0625
0.591328 29.0725
0.592714 28.915
0.594103 29.0575
0.595489 29.05
0.596875 28.97
0.598261 29.0225
0.599647 28.995
0.601036 28.98
0.602422 29.0925
0.603808 29.0325
0.605194 29.0225
0.606581 29.0325
0.607969 29.0775
0.609356 29.0075
0.610742 28.9
0.612128 28.9625
0.613514 28.9775
0.614903 29.0725
0.616289 29.08
0.617675 29.025
0.619061 29.05
0.620447 29.0175
0.621836 29.0275
0.623222 29.035
0.624608 29.075
0.625994 28.905
0.627381 28.7925
0.628769 29.02
0.630156 29.0025
0.631542 29.1225
0.632928 28.9975
0.634314 28.96
0.635703 28.91
0.637089 28.88
0.638475 28.8625
0.639861 29.1425
0.64125 28.8025
0.642636 29.13
0.644022 28.9675
0.645408 28.775
0.646794 29.015
0.648181 28.9725
0.649569 28.89
0.650956 28.9
0.652342 29.035
0.653728 29.0375
0.655114 28.8625
0.656503 28.9625
0.657889 28.91
0.659275 28.9675
0.660661 29.025
0.662047 29.005
0.663436 28.83
0.664822 28.8775
0.666208 28.8675
0.667594 28.9575
0.668981 28.9775
0.670369 28.94
0.671756 28.975
0.673142 28.9225
0.674528 28.99
0.675914 29.025
0.677303 28.8625
0.678689 28.8975
0.680075 29.04
0.681461 28.8825
0.682847 28.8225
0.684236 28.945
0.685622 28.8975
0.687008 28.9375
0.688394 28.925
0.689781 28.7925
0.691169 28.78
0.692556 28.8125
0.693942 28.8775
0.695328 28.8875
0.696714 28.8525
0.698103 28.935
0.699489 29
0.700875 29.035
0.702261 28.96
0.703647 29.0725
0.705036 28.9275
0.706422 28.865
0.707808 28.925
0.709194 28.905
0.710581 28.9175
0.711969 28.95
0.713356 28.885
0.714742 28.9625
0.716128 29.035
0.717514 29.0075
0.718903 28.8175
0.720289 28.9775
0.721675 28.905
0.723061 28.9425
0.724447 28.92
0.725836 28.8525
0.727222 28.9175
0.728608 28.965
0.729994 28.905
0.731381 28.8725
0.732769 28.825
0.734156 28.9475
0.735542 28.865
0.736928 28.8925
0.738314 28.91
0.739703 28.955
0.741089 28.95
0.742475 28.8725
0.743861 28.92
0.745247 29.0425
0.746636 28.935
0.748022 28.9475
0.749408 28.9
0.750794 28.98
0.752181 28.935
0.753569 28.9375
0.754956 28.8975
0.756342 29.01
0.757728 28.885
0.759114 28.9075
0.760503 28.955
0.761889 28.9025
0.763275 28.8675
0.764661 28.945
0.766047 28.9175
0.767436 28.985
0.768822 28.94
0.770208 28.995
0.771594 28.91
0.772981 28.89
0.774369 28.84
0.775756 28.95
0.777142 28.9025
0.778528 28.9725
0.779914 28.9375
0.781303 28.9225
0.782689 28.9475
0.784075 29.0625
0.785461 28.9825
0.786847 28.9
0.788236 28.965
0.789622 28.965
0.791008 29.0175
0.792394 29.0475
0.793781 29.025
0.795169 29.11
0.796556 29.11
0.797942 29.33
0.799328 28.825
0.800714 28.64
0.802103 28.9625
0.803489 28.985
0.804875 29.0275
0.806261 29.0425
0.807647 28.9875
0.809036 28.94
0.810422 29.0475
0.811808 29.0025
0.813194 29.0275
0.814583 28.8925
0.815969 28.945
0.817356 28.9375
0.818742 29.05
0.820128 29.005
0.821514 29.075
0.822903 29.1675
0.824289 28.995
0.825675 29.37
0.827061 28.825
0.828447 28.9675
0.829836 29.0425
0.831222 29.1525
0.832608 29.055
0.833994 29.1275
0.835381 29.0025
0.836769 29.065
0.838156 29.105
0.839542 29.1225
0.840928 29.105
0.842314 29.08
0.843703 29.105
0.845089 29.135
0.846475 29.13
0.847861 29.11
0.849247 28.9825
0.850636 29.0475
0.852022 29.135
0.853408 29.255
0.854794 29.0775
0.856181 29.0675
0.857569 29.0775
0.858956 29.1175
0.860342 29.1175
0.861728 29.0425
0.863114 29.205
0.864503 29.1325
0.865889 29.2625
0.867275 29.135
0.868661 29.5575
0.870047 29.3375
0.871436 29.215
0.872822 29.09
0.874208 28.92
0.875594 29.315
0.876981 29.215
0.878369 29.215
0.879756 29.17
0.881142 29.18
0.882528 29.2025
0.883914 29.0975
0.885303 29.2075
0.886689 29.1675
0.888075 29.31
0.889461 29.1475
0.890847 29.15
0.892236 29.3375
0.893622 29.245
0.895008 29.1725
0.896394 29.6375
0.897781 29.7325
0.899169 29.54
0.900556 29.1625
0.901942 29.2925
0.903328 29.475
0.904714 29.1975
0.906103 29.325
0.907489 29.29
0.908875 29.2775
0.910261 29.3275
0.911647 29.2075
0.913036 29.235
0.914422 29.2825
0.915808 29.3025
0.917194 29.29
0.918581 29.275
0.919969 29.175
0.921356 29.2825
0.922742 29.3775
0.924128 29.2425
0.925514 29.3975
0.926903 29.3375
0.928289 29.1525
0.929675 29.2875
0.931061 29.4325
0.932447 29.385
0.933836 28.955
0.935222 29.3875
0.936608 29.175
0.937994 29.335
0.939381 29.59
0.940769 29.3975
0.942156 29.52
0.943542 29.37
0.944928 29.235
0.946314 29.295
0.947703 29.12
0.949089 29.33
0.950475 29.18
0.951861 29.3025
0.953247 29.3725
0.954636 29.37
0.956022 29.3225
0.957408 29.39
0.958794 29.3325
0.960181 29.3025
0.961569 29.3825
0.962956 29.3025
0.964342 29.3275
0.965728 29.2925
0.967114 29.3325
0.968503 29.31
0.969889 29.335
0.971275 29.2825
0.972661 29.3475
0.974047 29.3875
0.975436 29.33
0.976822 29.2775
0.978208 29.29
0.979594 29.32
0.980981 29.3375
0.982369 29.255
0.983756 29.2975
0.985142 29.2175
0.986528 29.3425
0.987917 29.345
0.989303 29.3625
0.990689 29.3
0.992075 29.345
0.993461 29.3475
0.994847 29.2875
0.996236 29.5525
0.997622 29.44
0.999008 29.4025
1.00039 29.3275
1.00178 29.4025
1.00317 29.1975
1.00456 29.445
1.00594 29.4775
1.00733 29.3575
1.00871 29.495
1.0101 29.375
1.01149 29.295
1.01287 29.355
1.01426 29.4275
1.01565 29.4025
1.01704 29.37
1.01842 29.45
1.01981 29.4625
1.02119 29.4175
1.02258 29.35
1.02397 29.44
1.02536 29.4525
1.02674 29.355
1.02813 29.3725
1.02951 29.36
1.0309 29.46
1.03229 29.605
1.03367 29.7
1.03506 29.575
1.03645 29.3675
1.03784 29.5
1.03922 29.1575
1.04061 29.37
1.04199 29.4625
1.04338 29.5575
1.04477 29.395
1.04616 29.43
1.04754 29.48
1.04893 29.4425
1.05031 29.4375
1.0517 29.425
1.05309 29.3925
1.05447 29.455
1.05586 29.47
1.05725 29.4225
1.05864 29.4875
1.06002 29.575
1.06141 29.46
1.06279 29.4875
1.06418 29.5
1.06557 29.3875
1.06696 29.52
1.06834 29.505
1.06973 29.415
1.07111 29.375
1.0725 29.4225
1.07389 29.4175
1.07527 29.4525
1.07666 29.5225
1.07805 29.645
1.07944 29.5325
1.08082 29.555
1.08221 29.5175
1.08359 29.275
1.08498 29.5025
1.08637 29.3925
1.08776 29.5675
1.08914 29.4625
1.09053 29.385
1.09191 29.545
1.0933 29.6475
1.09469 29.7775
1.09608 29.465
1.09746 29.62
1.09885 29.73
1.10024 29.26
1.10162 29.645
1.10301 29.6175
1.10439 29.6175
1.10578 29.3425
1.10717 29.1925
1.10856 29.2125
1.10994 29.5575
1.11133 29.5275
1.11271 29.265
1.1141 29.7225
1.11549 29.4975
1.11688 29.5275
1.11826 29.5075
1.11965 29.605
1.12104 29.6375
1.12242 29.61
1.12381 29.2525
1.12519 29.545
1.12658 29.56
1.12797 29.5575
1.12936 29.675
1.13074 29.4625
1.13213 29.5525
1.13351 29.5225
1.1349 29.4625
1.13629 29.695
1.13768 29.54
1.13906 29.535
1.14045 29.465
1.14184 29.5575
1.14322 29.455
1.14461 29.5125
1.14599 29.5125
1.14738 29.545
1.14877 29.5425
1.15016 29.545
1.15154 29.59
1.15293 29.6125
1.15432 29.71
1.1557 29.525
1.15709 29.44
1.15848 29.565
1.15986 29.6175
1.16125 29.515
1.16264 29.4875
1.16402 29.53
1.16541 29.695
1.16679 29.3725
1.16818 29.745
1.16957 29.555
1.17096 29.6475
1.17234 29.5475
1.17373 29.6525
1.17511 29.65
1.1765 29.57
1.17789 29.605
1.17928 29.5875
1.18066 29.5875
1.18205 29.6825
1.18344 29.65
1.18482 29.845
1.18621 29.455
1.18759 29.3475
1.18898 29.5375
1.19037 29.68
1.19176 29.7025
1.19314 29.685
1.19453 29.6325
1.19591 29.455
1.1973 29.765
1.19869 29.6525
1.20008 29.645
1.20146 29.6725
1.20285 29.6075
1.20424 29.6375
1.20562 29.68
1.20701 29.6
1.20839 29.6125
1.20978 29.7175
1.21117 29.63
1.21256 29.535
1.21394 29.64
1.21533 29.6625
1.21671 29.705
1.2181 29.7025
1.21949 29.75
1.22088 29.7025
1.22226 29.61
1.22365 29.68
1.22504 29.61
1.22642 29.7075
1.22781 29.7075
1.22919 29.59
1.23058 29.68
1.23197 29.635
1.23336 29.7475
1.23474 29.7225
1.23613 29.645
1.23752 29.7225
1.2389 29.6675
1.24029 29.8125
1.24168 29.57
1.24306 29.5825
1.24445 29.5175
1.24584 29.7125
1.24722 29.655
1.24861 29.605
1.24999 29.675
1.25138 29.55
1.25277 29.6275
1.25416 29.5825
1.25554 29.595
1.25693 29.705
1.25831 29.5225
1.2597 29.615
1.26109 29.555
1.26248 29.6775
1.26386 29.81
1.26525 29.67
1.26664 29.635
1.26802 29.635
1.26941 29.735
1.27079 29.73
1.27218 29.675
1.27357 29.705
1.27496 29.5725
1.27634 32.285
1.27773 31.1425
1.27912 29.7675
1.28051 29.6325
1.28189 29.7225
1.28328 29.735
1.28467 29.6875
1.28606 29.79
1.28744 29.705
1.28883 29.7175
1.29021 29.6875
1.2916 29.67
1.29299 29.6825
1.29437 29.69
1.29576 29.6925
1.29715 29.71
1.29853 29.565
1.29992 29.6775
1.30131 29.7
1.30269 29.77
1.30408 29.8175
1.30547 29.6525
1.30686 29.6025
1.30824 29.805
1.30963 29.6675
1.31101 29.5925
1.3124 29.665
1.31379 29.725
1.31518 29.7125
1.31656 29.965
1.31795 29.785
1.31933 29.7775
1.32072 29.68
1.32211 29.6225
1.32349 29.825
1.32488 29.7325
1.32627 29.555
1.32766 29.7475
1.32904 29.675
1.33043 29.5675
1.33181 29.7225
1.3332 29.745
1.33459 29.6775
1.33598 29.8325
1.33736 29.6925
1.33875 29.6375
1.34013 29.78
1.34152 29.6425
1.34291 29.8625
1.34429 29.7875
1.34568 29.7625
1.34707 29.5625
1.34846 29.7125
1.34984 29.81
1.35123 29.7675
1.35261 29.6825
1.354 29.72
1.35539 29.725
1.35678 29.705
1.35816 29.6425
1.35955 29.7975
1.36093 29.6275
1.36232 29.785
1.36371 29.81
