# Telescope:  LTRT
# Description: 2.4m parabolic C-Band antenna
# Location: Glenorie, NSW, Australia
# Coordinates: 151.008 E, 33.5959 S
# Mode: cal
# Centre frequency:  3700 MHz
# Sample time (ms): 10
# Receiver Gain (dB): 5
# Observation length (s): 7200
# Local Time start:  Sat Feb 23 10:40:34 2013
# UTC start:  Fri Feb 22 23:40:34 2013
# LST start (hh:mm:ss):  19:56:42
# Source: no_rx
# Declination (degrees): -33.6
0.459144 164.587
0.460644 164.655
0.462147 164.908
0.46365 164.572
0.465153 164.688
0.466653 164.665
0.468156 165.012
0.469658 164.86
0.471161 164.863
0.472664 165.015
0.474164 165.788
0.475667 166.367
0.477169 166.405
0.478672 166.275
0.480175 165.965
0.481675 165.99
0.483178 166.128
0.484681 166.122
0.486183 165.887
0.487686 166.285
0.489186 165.87
0.490689 166.258
0.492192 165.79
0.493694 166.548
0.495197 166.365
0.496697 166.595
0.4982 166.242
0.499703 166.393
0.501206 165.312
0.502708 164.872
0.504208 164.803
0.505711 164.803
0.507214 164.51
0.508717 164.78
0.510219 164.492
0.511719 164.965
0.513222 164.52
0.514725 164.788
0.516228 164.443
0.517731 164.663
0.519231 164.408
0.520733 164.725
0.522236 164.727
0.523739 164.815
0.525242 164.488
0.526742 164.855
0.528244 164.747
0.529747 166.46
0.53125 166.52
0.532753 166.342
0.534253 165.6
0.535756 165.667
0.537258 166.188
0.538761 166.115
0.540264 165.825
0.541764 166.025
0.543267 165.585
0.544769 165.883
0.546272 166.072
0.547775 166.32
0.549278 165.79
0.550778 165.973
0.552281 165.475
0.553783 165.455
0.555286 165.595
0.556786 165.163
0.558289 164.232
0.559792 164.613
0.561294 164.042
0.562797 164.197
0.564297 164.385
0.5658 164.34
0.567303 164.413
0.568806 164.62
0.570308 164.2
0.571808 164.7
0.573311 164.277
0.574814 164.495
0.576317 164.232
0.577819 164.038
0.579319 164.3
0.580822 164.895
0.582325 164.76
0.583828 164.633
0.585331 165.753
0.586831 166.432
0.588333 166.06
0.589836 166.3
0.591339 166.077
0.592842 166.133
0.594342 166.152
0.595844 166.188
0.597347 165.635
0.59885 166.27
0.600353 165.77
0.601853 165.822
0.603356 165.458
0.604858 165.73
0.606361 165.917
0.607864 166.467
0.609364 165.947
0.610867 165.935
0.612369 164.628
0.613872 164.783
0.615375 164.577
0.616875 164.83
0.618378 164.955
0.619881 164.923
0.621383 164.42
0.622886 164.708
0.624386 164.883
0.625889 164.958
0.627392 164.393
0.628894 164.83
0.630397 164.65
0.631897 164.63
0.6334 164.62
0.634903 164.595
0.636406 165.107
0.637908 164.818
0.639408 165.26
0.640911 165.76
0.642414 166.158
0.643917 166.232
0.645419 166.533
0.646919 165.977
0.648422 166.445
0.649925 166.148
0.651428 166.488
0.652931 166.065
0.654431 166.512
0.655933 166.635
0.657436 166.91
0.658939 166.14
0.660442 166.477
0.661942 166.277
0.663444 166.363
0.664947 166.63
0.66645 166.342
0.667953 165.227
0.669453 164.872
0.670956 164.75
0.672458 164.997
0.673961 164.693
0.675464 165.193
0.676964 164.548
0.678467 164.91
0.679969 164.622
0.681472 164.947
0.682975 164.55
0.684475 164.99
0.685978 164.47
0.687481 164.995
0.688983 164.65
0.690486 165.005
0.691986 164.385
0.693489 164.4
0.694992 164.7
0.696494 166.215
0.697997 165.535
0.699497 166.035
0.701 165.69
0.702503 165.883
0.704006 165.63
0.705508 165.98
0.707008 165.682
0.708511 166.055
0.710014 165.5
0.711517 166.005
0.713019 165.803
0.714519 166.188
0.716022 165.508
0.717525 165.982
0.719028 165.41
0.720531 165.725
0.722031 165.613
0.723533 164.883
0.725036 164.31
0.726539 164.548
0.728042 164.32
0.729542 164.355
0.731044 164.128
0.732547 163.913
0.73405 164.333
0.735553 164.423
0.737053 164.315
0.738556 164.383
0.740058 164.625
0.741561 164.217
0.743064 164.732
