# Telescope:  LTRT
# Description: 2.4m parabolic C-Band antenna
# Location: Glenorie, NSW, Australia
# Coordinates: 151.008 E, 33.5959 S
# Mode: cal
# Centre frequency:  3700 MHz
# Sample time (ms): 10
# Receiver Gain (dB): 5
# Observation length (s): 7200
# Local Time start:  Sat Feb 23 13:20:43 2013
# UTC start:  Sat Feb 23 02:20:43 2013
# LST start (hh:mm:ss):  22:37:17
# Source: no_lnb
# Declination (degrees): -33.6
0.394422 54.5375
0.395808 54.4575
0.397194 54.415
0.398583 54.67
0.399969 54.3525
0.401356 54.41
0.402742 54.8925
0.404128 54.8575
0.405514 54.7775
0.406903 54.7425
0.408289 54.48
0.409675 54.5975
0.411061 55.035
0.412447 54.8575
0.413836 54.8825
0.415222 54.8075
0.416608 55.035
0.417994 54.9725
0.419383 55.01
0.420769 54.6875
0.422156 55.3725
0.423542 54.775
0.424928 55.07
0.426314 55.245
0.427703 55.075
0.429089 55.1725
0.430475 55.1675
0.431861 55.0075
0.433247 54.9675
0.434636 55.25
0.436022 54.9575
0.437408 55.1175
0.438794 55.075
0.440183 55.16
0.441569 55.1125
0.442956 55.09
0.444342 55.235
0.445728 55.315
0.447114 55.1325
0.448503 55.2
0.449889 55.38
0.451275 55.1875
0.452661 55.2775
0.454047 55.32
0.455436 55.205
0.456822 55.1275
0.458208 55.4425
0.459594 55.3275
0.460983 55.175
0.462369 55.3525
0.463756 55.2325
0.465142 55.4975
0.466528 55.215
0.467917 55.2525
0.469303 55.42
0.470689 55.4475
0.472075 55.6275
0.473461 55.33
0.474847 55.4325
0.476236 55.5075
0.477622 55.52
0.479008 55.38
0.480394 55.4975
0.481783 55.5125
0.483169 55.8075
0.484556 55.5875
0.485942 55.9025
0.487328 55.5575
0.488717 55.705
0.490103 55.485
0.491489 55.6525
0.492875 55.315
0.494261 55.5625
0.495647 55.845
0.497036 55.6475
0.498422 55.99
0.499808 55.9775
0.501194 55.73
0.502583 55.6225
0.503969 55.7925
0.505356 55.865
0.506742 55.795
0.508128 55.9475
0.509517 55.5775
0.510903 55.9525
0.512289 55.81
0.513675 56
0.515061 55.7825
0.516447 56.0125
0.517836 55.89
0.519222 55.8
0.520608 55.7725
0.521994 55.9375
0.523383 55.8975
0.524769 56.02
0.526156 56.0575
0.527542 55.9425
0.528928 56.19
0.530317 55.945
0.531703 56.0325
0.533089 55.8225
0.534475 55.7825
0.535861 56.47
0.537247 55.9375
0.538636 56
0.540022 56.2725
0.541408 55.9675
0.542794 56.2275
0.544183 56.4225
0.545569 55.9275
0.546956 56.2825
0.548342 56.025
0.549728 56.1775
0.551117 56.01
0.552503 56.22
0.553889 56.01
0.555275 56.155
0.556661 56.08
0.558047 55.9725
0.559436 56.365
0.560822 56.2025
0.562208 56.2975
0.563594 55.9525
0.564983 56.02
0.566369 56.4675
0.567756 56.1325
0.569142 56.405
0.570528 56.165
0.571914 56.3275
0.573303 56.38
0.574689 56.3925
0.576075 56.2675
0.577461 56.4575
0.578847 56.24
0.580236 56.3425
0.581622 56.405
0.583008 56.33
0.584394 56.305
0.585781 56.4025
0.587169 56.1325
0.588556 56.3775
0.589942 56.2525
0.591328 56.22
0.592714 56.645
0.594103 56.44
0.595489 56.5025
0.596875 56.43
0.598261 56.275
0.599647 56.355
0.601036 56.35
0.602422 56.2
0.603808 56.5025
0.605194 56.435
0.606581 56.4425
0.607969 56.3925
0.609356 56.1625
0.610742 56.4075
0.612128 56.3575
0.613514 56.3425
0.614903 56.475
0.616289 56.34
0.617675 56.5525
0.619061 56.41
0.620447 56.4525
0.621836 56.325
0.623222 56.4525
0.624608 56.535
0.625994 56.08
0.627381 56.385
0.628769 56.3
0.630156 56.3575
0.631542 56.2875
0.632928 56.34
0.634314 56.5075
0.635703 56.56
0.637089 56.4
0.638475 56.2725
0.639861 56.3875
0.64125 56.425
0.642636 56.44
0.644022 56.4525
0.645408 56.48
0.646794 56.365
0.648181 56.3025
0.649569 56.5525
0.650956 56.4875
0.652342 56.5275
0.653728 56.525
0.655114 56.2675
0.656503 56.26
0.657889 56.4825
0.659275 56.11
0.660661 56.7425
0.662047 56.405
0.663436 57.205
0.664822 56.545
0.666208 56.315
0.667594 56.455
0.668981 56.295
0.670369 56.4375
0.671756 56.335
0.673142 56.4925
0.674528 56.555
0.675914 56.5675
0.677303 56.5075
0.678689 56.245
0.680075 56.2225
0.681461 56.3825
0.682847 56.405
0.684236 56.3625
0.685622 56.4225
0.687008 56.3975
0.688394 56.0425
0.689781 56.5025
0.691169 55.9825
0.692556 56.6575
0.693942 56.55
0.695328 56.4825
0.696714 56.325
0.698103 56.5225
0.699489 56.2575
0.700875 56.47
0.702261 56.63
0.703647 56.385
0.705036 56.5725
